timestamp,link_id,source_device,destination_device,source_interface,destination_interface,link_utilization,latency_ms,packet_loss,throughput_mbps,qos_priority,reachability,traffic_type,anomaly_flag
4,link_8,host_6,switch_3,interface_4,interface_2,85,29,1.52,451,2,1,file_transfer,0
4,link_9,host_1,switch_1,interface_5,interface_5,84,14,0.72,473,3,1,http,0
4,link_10,host_2,switch_3,interface_6,interface_8,50,5,1.92,243,4,1,video,0
5,link_1,host_6,switch_2,interface_11,interface_6,69,34,1.4,302,1,1,video,0
5,link_2,host_1,switch_4,interface_12,interface_9,89,24,0.6,492,2,1,voip,0
5,link_3,host_2,switch_2,interface_1,interface_12,73,10,1.8,413,3,1,file_transfer,0
5,link_4,host_3,switch_4,interface_2,interface_3,35,5,1.0,137,4,1,http,0
5,link_5,host_4,switch_2,interface_3,interface_6,10,13,0.2,-80,5,1,video,0
5,link_6,host_5,switch_4,interface_4,interface_9,21,27,1.4,-41,1,1,voip,0
5,link_7,host_6,switch_2,interface_5,interface_12,58,34,0.6,220,2,1,file_transfer,0
5,link_8,host_1,switch_4,interface_6,interface_3,87,28,1.8,462,3,1,http,0
5,link_9,host_2,switch_2,interface_7,interface_6,81,14,1.0,463,4,1,video,0
5,link_10,host_3,switch_4,interface_8,interface_9,46,5,0.2,222,5,1,voip,0
6,link_1,host_1,switch_3,interface_1,interface_7,72,34,1.68,322,2,1,voip,0
6,link_2,host_2,switch_1,interface_2,interface_10,89,24,0.88,496,3,1,file_transfer,0
6,link_3,host_3,switch_3,interface_3,interface_1,70,10,0.08,398,4,1,http,0
6,link_4,host_4,switch_1,interface_4,interface_4,32,5,1.28,117,5,1,video,0
6,link_5,host_5,switch_3,interface_5,interface_7,10,13,0.48,-87,1,1,voip,0
6,link_6,host_6,switch_1,interface_6,interface_10,24,28,1.68,-27,2,1,file_transfer,0
6,link_7,host_1,switch_3,interface_7,interface_1,62,34,0.88,240,3,1,http,0
6,link_8,host_2,switch_1,interface_8,interface_4,88,27,0.08,472,4,1,video,0
6,link_9,host_3,switch_3,interface_9,interface_7,79,13,1.28,453,5,1,voip,0
6,link_10,host_4,switch_1,interface_10,interface_10,43,5,0.48,201,1,1,file_transfer,0
7,link_1,host_2,switch_4,interface_3,interface_8,75,34,1.96,341,3,1,file_transfer,0
7,link_2,host_3,switch_2,interface_4,interface_11,89,23,1.16,499,4,1,http,0
7,link_3,host_4,switch_4,interface_5,interface_2,67,9,0.36,381,5,1,video,0
7,link_4,host_5,switch_2,interface_6,interface_5,28,5,1.56,97,1,1,voip,0
7,link_5,host_6,switch_4,interface_7,interface_8,10,14,0.76,-92,2,1,file_transfer,0
7,link_6,host_1,switch_2,interface_8,interface_11,27,28,1.96,-13,3,1,http,0
7,link_7,host_2,switch_4,interface_9,interface_2,66,34,1.16,261,4,1,video,0
7,link_8,host_3,switch_2,interface_10,interface_5,89,27,0.36,480,5,1,voip,0
7,link_9,host_4,switch_4,interface_11,interface_8,76,12,1.56,441,1,1,file_transfer,0
7,link_10,host_5,switch_2,interface_12,interface_11,39,5,0.76,180,2,1,http,0
8,link_1,host_3,switch_1,interface_5,interface_9,78,33,0.24,359,4,1,http,0
8,link_2,host_4,switch_3,interface_6,interface_12,88,22,1.44,499,5,1,video,0
8,link_3,host_5,switch_1,interface_7,interface_3,63,8,0.64,364,1,1,voip,0
8,link_4,host_6,switch_3,interface_8,interface_6,25,5,1.84,78,2,1,file_transfer,0
8,link_5,host_1,switch_1,interface_9,interface_9,10,15,1.04,-96,3,1,http,0
8,link_6,host_2,switch_3,interface_10,interface_12,31,29,0.24,1,4,1,video,0
8,link_7,host_3,switch_1,interface_11,interface_3,69,34,1.44,281,5,1,voip,0
8,link_8,host_4,switch_3,interface_12,interface_6,89,26,0.64,487,1,1,file_transfer,0
8,link_9,host_5,switch_1,interface_1,interface_9,73,12,1.84,428,2,1,http,0
8,link_10,host_6,switch_3,interface_2,interface_12,35,5,1.04,159,3,1,video,0
9,link_1,host_4,switch_2,interface_7,interface_10,81,33,0.52,376,5,1,video,0
9,link_2,host_5,switch_4,interface_8,interface_1,87,21,1.72,499,1,1,voip,0
9,link_3,host_6,switch_2,interface_9,interface_4,59,8,0.92,346,2,1,file_transfer,0
9,link_4,host_1,switch_4,interface_10,interface_7,22,5,0.12,59,3,1,http,0
9,link_5,host_2,switch_2,interface_11,interface_10,10,16,1.32,-98,4,1,video,0
9,link_6,host_3,switch_4,interface_12,interface_1,35,30,0.52,17,5,1,voip,0
9,link_7,host_4,switch_2,interface_1,interface_4,73,34,1.72,301,1,1,file_transfer,0
9,link_8,host_5,switch_4,interface_2,interface_7,89,25,0.92,492,2,1,http,0
9,link_9,host_6,switch_2,interface_3,interface_10,70,11,0.12,414,3,1,video,0
9,link_10,host_1,switch_4,interface_4,interface_1,31,5,1.32,138,4,1,voip,0
10,link_1,host_5,switch_3,interface_9,interface_11,83,33,0.8,393,1,1,voip,0
10,link_2,host_6,switch_1,interface_10,interface_2,86,21,0.0,497,2,1,file_transfer,0
10,link_3,host_1,switch_3,interface_11,interface_5,55,7,1.2,328,3,1,http,0
10,link_4,host_2,switch_1,interface_12,interface_8,19,5,0.4,41,4,1,video,0
10,link_5,host_3,switch_3,interface_1,interface_11,11,16,1.6,-99,5,1,voip,0
10,link_6,host_4,switch_1,interface_2,interface_2,38,30,0.8,34,1,1,file_transfer,0
10,link_7,host_5,switch_3,interface_3,interface_5,76,34,0.0,321,2,1,http,0
10,link_8,host_6,switch_1,interface_4,interface_8,89,25,1.2,496,3,1,video,0
10,link_9,host_1,switch_3,interface_5,interface_11,66,10,0.4,398,4,1,voip,0
10,link_10,host_2,switch_1,interface_6,interface_2,28,5,1.6,118,5,1,file_transfer,0
11,link_1,host_6,switch_4,interface_11,interface_12,85,32,1.08,408,2,1,file_transfer,0
11,link_2,host_1,switch_2,interface_12,interface_3,84,20,0.28,494,3,1,http,0
11,link_3,host_2,switch_4,interface_1,interface_6,51,7,1.48,308,4,1,video,0
11,link_4,host_3,switch_2,interface_2,interface_9,17,6,0.68,23,5,1,voip,0
11,link_5,host_4,switch_4,interface_3,interface_12,12,17,1.88,-99,1,1,file_transfer,0
11,link_6,host_5,switch_2,interface_4,interface_3,42,31,1.08,52,2,1,http,0
11,link_7,host_6,switch_4,interface_5,interface_6,79,34,0.28,340,3,1,video,0
11,link_8,host_1,switch_2,interface_6,interface_9,88,24,1.48,498,4,1,voip,0
11,link_9,host_2,switch_4,interface_7,interface_12,62,10,0.68,382,5,1,file_transfer,0
11,link_10,host_3,switch_2,interface_8,interface_3,24,5,1.88,98,1,1,http,0
12,link_1,host_1,switch_1,interface_1,interface_1,87,32,1.36,423,3,1,http,0
12,link_2,host_2,switch_3,interface_2,interface_4,82,19,0.56,489,4,1,video,0
12,link_3,host_3,switch_1,interface_3,interface_7,47,7,1.76,289,5,1,voip,0
12,link_4,host_4,switch_3,interface_4,interface_10,15,6,0.96,7,1,1,file_transfer,0
12,link_5,host_5,switch_1,interface_5,interface_1,14,18,0.16,-97,2,1,http,0
12,link_6,host_6,switch_3,interface_6,interface_4,46,31,1.36,71,3,1,video,0
12,link_7,host_1,switch_1,interface_7,interface_7,81,34,0.56,358,4,1,voip,0
12,link_8,host_2,switch_3,interface_8,interface_10,87,23,1.76,499,5,1,file_transfer,0
12,link_9,host_3,switch_1,interface_9,interface_1,58,9,0.96,365,1,1,http,0
12,link_10,host_4,switch_3,interface_10,interface_4,22,5,0.16,78,2,1,video,0
13,link_1,host_2,switch_2,interface_3,interface_2,88,31,1.64,436,4,1,video,0
13,link_2,host_3,switch_4,interface_4,interface_5,79,18,0.84,482,5,1,voip,0
13,link_3,host_4,switch_2,interface_5,interface_8,43,6,0.04,268,1,1,file_transfer,0
13,link_4,host_5,switch_4,interface_6,interface_11,13,6,1.24,-8,2,1,http,0
13,link_5,host_6,switch_2,interface_7,interface_2,16,19,0.44,-94,3,1,video,0
13,link_6,host_1,switch_4,interface_8,interface_5,50,32,1.64,90,4,1,voip,0
13,link_7,host_2,switch_2,interface_9,interface_8,84,34,0.84,375,5,1,file_transfer,0
13,link_8,host_3,switch_4,interface_10,interface_11,86,23,0.04,499,1,1,http,0
13,link_9,host_4,switch_2,interface_11,interface_2,54,9,1.24,347,2,1,video,0
13,link_10,host_5,switch_4,interface_12,interface_5,19,5,0.44,60,3,1,voip,0
14,link_1,host_3,switch_3,interface_5,interface_3,89,31,1.92,449,5,1,voip,0
14,link_2,host_4,switch_1,interface_6,interface_6,77,18,1.12,475,1,1,file_transfer,0
14,link_3,host_5,switch_3,interface_7,interface_9,39,6,0.32,248,2,1,http,0
14,link_4,host_6,switch_1,interface_8,interface_12,11,7,1.52,-23,3,1,video,0
14,link_5,host_1,switch_3,interface_9,interface_3,19,19,0.72,-89,4,1,voip,0
14,link_6,host_2,switch_1,interface_10,interface_6,54,32,1.92,110,5,1,file_transfer,0
14,link_7,host_3,switch_3,interface_11,interface_9,85,33,1.12,392,1,1,http,0
14,link_8,host_4,switch_1,interface_12,interface_12,84,22,0.32,497,2,1,video,0
14,link_9,host_5,switch_3,interface_1,interface_3,50,8,1.52,329,3,1,voip,0
14,link_10,host_6,switch_1,interface_2,interface_6,16,5,0.72,41,4,1,file_transfer,0
15,link_1,host_4,switch_4,interface_7,interface_4,89,30,0.2,460,1,1,file_transfer,0
15,link_2,host_5,switch_2,interface_8,interface_7,73,17,1.4,466,2,1,http,0
15,link_3,host_6,switch_4,interface_9,interface_10,35,6,0.6,227,3,1,video,0
15,link_4,host_1,switch_2,interface_10,interface_1,10,7,1.8,-36,4,1,voip,0
15,link_5,host_2,switch_4,interface_11,interface_4,21,20,1.0,-83,5,1,file_transfer,0
15,link_6,host_3,switch_2,interface_12,interface_7,58,32,0.2,130,1,1,http,0
15,link_7,host_4,switch_4,interface_1,interface_10,87,33,1.4,408,2,1,video,0
15,link_8,host_5,switch_2,interface_2,interface_1,81,21,0.6,494,3,1,voip,0
15,link_9,host_6,switch_4,interface_3,interface_4,46,8,1.8,309,4,1,file_transfer,0
15,link_10,host_1,switch_2,interface_4,interface_7,14,5,1.0,24,5,1,http,0
16,link_1,host_5,switch_1,interface_9,interface_5,89,30,0.48,470,2,1,http,0
16,link_2,host_6,switch_3,interface_10,interface_8,70,16,1.68,455,3,1,video,0
16,link_3,host_1,switch_1,interface_11,interface_11,32,5,0.88,206,4,1,voip,0
16,link_4,host_2,switch_3,interface_12,interface_2,10,8,0.08,-48,5,1,file_transfer,0
16,link_5,host_3,switch_1,interface_1,interface_5,24,21,1.28,-75,1,1,http,0
16,link_6,host_4,switch_3,interface_2,interface_8,62,33,0.48,151,2,1,video,0
16,link_7,host_5,switch_1,interface_3,interface_11,88,33,1.68,422,3,1,voip,0
16,link_8,host_6,switch_3,interface_4,interface_2,79,20,0.88,489,4,1,file_transfer,0
16,link_9,host_1,switch_1,interface_5,interface_5,43,7,0.08,290,5,1,http,0
16,link_10,host_2,switch_3,interface_6,interface_8,13,6,1.28,7,1,0,video,0
17,link_1,host_6,switch_2,interface_11,interface_6,89,29,0.76,478,3,1,video,0
17,link_2,host_1,switch_4,interface_12,interface_9,67,15,1.96,444,4,1,voip,0
17,link_3,host_2,switch_2,interface_1,interface_12,28,5,1.16,185,5,1,file_transfer,0
17,link_4,host_3,switch_4,interface_2,interface_3,10,8,0.36,-59,1,1,http,0
17,link_5,host_4,switch_2,interface_3,interface_6,27,22,1.56,-66,2,1,video,0
17,link_6,host_5,switch_4,interface_4,interface_9,66,33,0.76,172,3,1,voip,0
17,link_7,host_6,switch_2,interface_5,interface_12,89,32,1.96,436,4,1,file_transfer,0
17,link_8,host_1,switch_4,interface_6,interface_3,76,20,1.16,483,5,1,http,0
17,link_9,host_2,switch_2,interface_7,interface_6,39,7,0.36,269,1,0,video,0
17,link_10,host_3,switch_4,interface_8,interface_9,11,6,1.56,-7,2,1,voip,0
18,link_1,host_1,switch_3,interface_1,interface_7,88,29,1.04,485,4,1,voip,0
18,link_2,host_2,switch_1,interface_2,interface_10,63,15,0.24,431,5,1,file_transfer,0
18,link_3,host_3,switch_3,interface_3,interface_1,25,5,1.44,164,1,1,http,0
18,link_4,host_4,switch_1,interface_4,interface_4,10,9,0.64,-69,2,1,video,0
18,link_5,host_5,switch_3,interface_5,interface_7,31,22,1.84,-56,3,1,voip,0
18,link_6,host_6,switch_1,interface_6,interface_10,69,33,1.04,193,4,1,file_transfer,0
18,link_7,host_1,switch_3,interface_7,interface_1,89,32,0.24,448,5,1,http,0
18,link_8,host_2,switch_1,interface_8,interface_4,73,19,1.44,475,1,0,video,0
18,link_9,host_3,switch_3,interface_9,interface_7,35,7,0.64,249,2,1,voip,0
18,link_10,host_4,switch_1,interface_10,interface_10,10,6,1.84,-22,3,1,file_transfer,0
19,link_1,host_2,switch_4,interface_3,interface_8,87,28,1.32,491,5,1,file_transfer,0
19,link_2,host_3,switch_2,interface_4,interface_11,59,14,0.52,417,1,1,http,0
19,link_3,host_4,switch_4,interface_5,interface_2,22,5,1.72,143,2,1,video,0
19,link_4,host_5,switch_2,interface_6,interface_5,10,9,0.92,-78,3,1,voip,0
19,link_5,host_6,switch_4,interface_7,interface_8,35,23,0.12,-44,4,1,file_transfer,0
19,link_6,host_1,switch_2,interface_8,interface_11,73,34,1.32,214,5,1,http,0
19,link_7,host_2,switch_4,interface_9,interface_2,89,31,0.52,459,1,0,video,0
19,link_8,host_3,switch_2,interface_10,interface_5,70,18,1.72,466,2,1,voip,0
19,link_9,host_4,switch_4,interface_11,interface_8,31,6,0.92,228,3,1,file_transfer,0
19,link_10,host_5,switch_2,interface_12,interface_11,10,7,0.12,-35,4,1,http,0
20,link_1,host_3,switch_1,interface_5,interface_9,86,28,1.6,495,1,1,http,0
20,link_2,host_4,switch_3,interface_6,interface_12,55,13,0.8,402,2,1,video,0
20,link_3,host_5,switch_1,interface_7,interface_3,19,5,0.0,123,3,1,voip,0
20,link_4,host_6,switch_3,interface_8,interface_6,11,10,1.2,-85,4,1,file_transfer,0
20,link_5,host_1,switch_1,interface_9,interface_9,38,24,0.4,-31,5,1,http,0
20,link_6,host_2,switch_3,interface_10,interface_12,76,34,1.6,234,1,0,video,0
20,link_7,host_3,switch_1,interface_11,interface_3,89,31,0.8,469,2,1,voip,0
20,link_8,host_4,switch_3,interface_12,interface_6,66,17,0.0,456,3,1,file_transfer,0
20,link_9,host_5,switch_1,interface_1,interface_9,28,6,1.2,207,4,1,http,0
20,link_10,host_6,switch_3,interface_2,interface_12,10,7,0.4,-48,5,1,video,0
21,link_1,host_4,switch_2,interface_7,interface_10,84,27,1.88,498,2,1,video,0
21,link_2,host_5,switch_4,interface_8,interface_1,51,13,1.08,386,3,1,voip,0
21,link_3,host_6,switch_2,interface_9,interface_4,17,5,0.28,103,4,1,file_transfer,0
21,link_4,host_1,switch_4,interface_10,interface_7,12,10,1.48,-91,5,1,http,0
21,link_5,host_2,switch_2,interface_11,interface_10,42,24,0.68,-17,1,0,video,0
21,link_6,host_3,switch_4,interface_12,interface_1,79,34,1.88,255,2,1,voip,0
21,link_7,host_4,switch_2,interface_1,interface_4,88,30,1.08,478,3,1,file_transfer,0
21,link_8,host_5,switch_4,interface_2,interface_7,62,17,0.28,444,4,1,http,0
21,link_9,host_6,switch_2,interface_3,interface_10,24,6,1.48,186,5,1,video,0
21,link_10,host_1,switch_4,interface_4,interface_1,10,7,0.68,-59,1,1,voip,0
22,link_1,host_5,switch_3,interface_9,interface_11,82,26,0.16,499,3,1,voip,0
22,link_2,host_6,switch_1,interface_10,interface_2,47,12,1.36,369,4,1,file_transfer,0
22,link_3,host_1,switch_3,interface_11,interface_5,15,5,0.56,83,5,1,http,0
22,link_4,host_2,switch_1,interface_12,interface_8,14,11,1.76,-95,1,0,video,0
22,link_5,host_3,switch_3,interface_1,interface_11,46,25,0.96,-2,2,1,voip,0
22,link_6,host_4,switch_1,interface_2,interface_2,81,34,0.16,276,3,1,file_transfer,0
22,link_7,host_5,switch_3,interface_3,interface_5,87,30,1.36,485,4,1,http,0
22,link_8,host_6,switch_1,interface_4,interface_8,58,16,0.56,432,5,1,video,0
22,link_9,host_1,switch_3,interface_5,interface_11,22,5,1.76,165,1,1,voip,0
22,link_10,host_2,switch_1,interface_6,interface_2,10,8,0.96,-69,2,1,file_transfer,0
23,link_1,host_6,switch_4,interface_11,interface_12,79,26,0.44,499,4,1,file_transfer,0
23,link_2,host_1,switch_2,interface_12,interface_3,43,11,1.64,352,5,1,http,0
23,link_3,host_2,switch_4,interface_1,interface_6,13,5,0.84,64,1,0,video,0
23,link_4,host_3,switch_2,interface_2,interface_9,16,12,0.04,-98,2,1,voip,0
23,link_5,host_4,switch_4,interface_3,interface_12,50,26,1.24,12,3,1,file_transfer,0
23,link_6,host_5,switch_2,interface_4,interface_3,84,34,0.44,296,4,1,http,0
23,link_7,host_6,switch_4,interface_5,interface_6,86,29,1.64,491,5,1,video,0
23,link_8,host_1,switch_2,interface_6,interface_9,54,15,0.84,418,1,1,voip,0
23,link_9,host_2,switch_4,interface_7,interface_12,19,5,0.04,144,2,1,file_transfer,0
23,link_10,host_3,switch_2,interface_8,interface_3,11,8,1.24,-77,3,1,http,0
24,link_1,host_1,switch_1,interface_1,interface_1,77,25,0.72,498,5,1,http,0
24,link_2,host_2,switch_3,interface_2,interface_4,39,11,1.92,333,1,0,video,0
24,link_3,host_3,switch_1,interface_3,interface_7,11,5,1.12,46,2,1,voip,0
24,link_4,host_4,switch_3,interface_4,interface_10,19,12,0.32,-99,3,1,file_transfer,0
24,link_5,host_5,switch_1,interface_5,interface_1,54,27,1.52,29,4,1,http,0
24,link_6,host_6,switch_3,interface_6,interface_4,85,34,0.72,315,5,1,video,0
24,link_7,host_1,switch_1,interface_7,interface_7,84,29,1.92,495,1,1,voip,0
24,link_8,host_2,switch_3,interface_8,interface_10,50,14,1.12,403,2,1,file_transfer,0
24,link_9,host_3,switch_1,interface_9,interface_1,16,5,0.32,124,3,1,http,0
24,link_10,host_4,switch_3,interface_10,interface_4,13,9,1.52,-85,4,1,video,0
25,link_1,host_2,switch_2,interface_3,interface_2,73,24,1.0,495,1,0,video,0
25,link_2,host_3,switch_4,interface_4,interface_5,35,10,0.2,314,2,1,voip,0
25,link_3,host_4,switch_2,interface_5,interface_8,10,5,1.4,28,3,1,file_transfer,0
25,link_4,host_5,switch_4,interface_6,interface_11,21,13,0.6,-99,4,1,http,0
25,link_5,host_6,switch_2,interface_7,interface_2,58,27,1.8,47,5,1,video,0
25,link_6,host_1,switch_4,interface_8,interface_5,87,34,1.0,335,1,1,voip,0
25,link_7,host_2,switch_2,interface_9,interface_8,81,28,0.2,498,2,1,file_transfer,0
25,link_8,host_3,switch_4,interface_10,interface_11,46,14,1.4,387,3,1,http,0
25,link_9,host_4,switch_2,interface_11,interface_2,14,5,0.6,104,4,1,video,0
25,link_10,host_5,switch_4,interface_12,interface_5,14,9,1.8,-90,5,1,voip,0
26,link_1,host_3,switch_3,interface_5,interface_3,70,24,1.28,490,2,1,voip,0
26,link_2,host_4,switch_1,interface_6,interface_6,32,10,0.48,294,3,1,file_transfer,0
26,link_3,host_5,switch_3,interface_7,interface_9,10,5,1.68,11,4,1,http,0
26,link_4,host_6,switch_1,interface_8,interface_12,24,13,0.88,-98,5,1,video,0
26,link_5,host_1,switch_3,interface_9,interface_3,62,28,0.08,65,1,1,voip,0
26,link_6,host_2,switch_1,interface_10,interface_6,88,34,1.28,353,2,1,file_transfer,0
26,link_7,host_3,switch_3,interface_11,interface_9,79,27,0.48,499,3,1,http,0
26,link_8,host_4,switch_1,interface_12,interface_12,43,13,1.68,370,4,1,video,0
26,link_9,host_5,switch_3,interface_1,interface_3,13,5,0.88,84,5,1,voip,0
26,link_10,host_6,switch_1,interface_2,interface_6,17,10,0.08,-95,1,1,file_transfer,0
27,link_1,host_4,switch_4,interface_7,interface_4,67,23,1.56,484,3,1,file_transfer,0
27,link_2,host_5,switch_2,interface_8,interface_7,28,9,0.76,274,4,1,http,0
27,link_3,host_6,switch_4,interface_9,interface_10,10,5,1.96,-4,5,1,video,0
27,link_4,host_1,switch_2,interface_10,interface_1,27,14,1.16,-95,1,1,voip,0
27,link_5,host_2,switch_4,interface_11,interface_4,66,28,0.36,85,2,1,file_transfer,0
27,link_6,host_3,switch_2,interface_12,interface_7,89,34,1.56,371,3,1,http,0
27,link_7,host_4,switch_4,interface_1,interface_10,76,27,0.76,499,4,1,video,0
27,link_8,host_5,switch_2,interface_2,interface_1,39,12,1.96,352,5,1,voip,0
27,link_9,host_6,switch_4,interface_3,interface_4,11,5,1.16,65,1,1,file_transfer,0
27,link_10,host_1,switch_2,interface_4,interface_7,19,10,0.36,-98,2,1,http,0
28,link_1,host_5,switch_1,interface_9,interface_5,63,22,1.84,477,4,1,http,0
28,link_2,host_6,switch_3,interface_10,interface_8,25,8,1.04,254,5,1,video,0
28,link_3,host_1,switch_1,interface_11,interface_11,10,5,0.24,-19,1,1,voip,0
28,link_4,host_2,switch_3,interface_12,interface_2,31,15,1.44,-90,2,1,file_transfer,0
28,link_5,host_3,switch_1,interface_1,interface_5,69,29,0.64,104,3,1,http,0
28,link_6,host_4,switch_3,interface_2,interface_8,89,34,1.84,387,4,1,video,0
28,link_7,host_5,switch_1,interface_3,interface_11,73,26,1.04,498,5,1,voip,0
28,link_8,host_6,switch_3,interface_4,interface_2,35,12,0.24,334,1,1,file_transfer,0
28,link_9,host_1,switch_1,interface_5,interface_5,10,5,1.44,46,2,1,http,0
28,link_10,host_2,switch_3,interface_6,interface_8,22,11,0.64,-99,3,1,video,0
29,link_1,host_6,switch_2,interface_11,interface_6,59,21,0.12,468,5,1,video,0
29,link_2,host_1,switch_4,interface_12,interface_9,22,8,1.32,233,1,1,voip,0
29,link_3,host_2,switch_2,interface_1,interface_12,10,5,0.52,-32,2,1,file_transfer,0
29,link_4,host_3,switch_4,interface_2,interface_3,35,16,1.72,-84,3,1,http,0
29,link_5,host_4,switch_2,interface_3,interface_6,73,30,0.92,124,4,1,video,0
29,link_6,host_5,switch_4,interface_4,interface_9,89,34,0.12,403,5,1,voip,0
29,link_7,host_6,switch_2,interface_5,interface_12,70,25,1.32,495,1,1,file_transfer,0
29,link_8,host_1,switch_4,interface_6,interface_3,31,11,0.52,315,2,1,http,0
29,link_9,host_2,switch_2,interface_7,interface_6,10,5,1.72,29,3,1,video,0
29,link_10,host_3,switch_4,interface_8,interface_9,25,12,0.92,-99,4,1,voip,0
30,link_1,host_1,switch_3,interface_1,interface_7,55,21,0.4,458,1,1,voip,0
30,link_2,host_2,switch_1,interface_2,interface_10,19,7,1.6,212,2,1,file_transfer,0
30,link_3,host_3,switch_3,interface_3,interface_1,11,5,0.8,-45,3,1,http,0
30,link_4,host_4,switch_1,interface_4,interface_4,38,16,0.0,-77,4,1,video,0
30,link_5,host_5,switch_3,interface_5,interface_7,76,30,1.2,145,5,1,voip,0
30,link_6,host_6,switch_1,interface_6,interface_10,89,34,0.4,418,1,1,file_transfer,0
30,link_7,host_1,switch_3,interface_7,interface_1,66,25,1.6,490,2,1,http,0
30,link_8,host_2,switch_1,interface_8,interface_4,28,10,0.8,295,3,1,video,0
30,link_9,host_3,switch_3,interface_9,interface_7,10,5,0.0,12,4,1,voip,0
30,link_10,host_4,switch_1,interface_10,interface_10,28,12,1.2,-98,5,1,file_transfer,0
31,link_1,host_2,switch_4,interface_3,interface_8,51,20,0.68,447,2,1,file_transfer,0
